Learning rate;L2;Accuracy;Precision;Recall;F1;Confusion matrix
2.586160413828407E-8;5.060276434956808E-5;0.50216;0.5049180327868853;0.22176;0.30817120622568095;0:,,Predicted Class,,,0,1,TotalActual Class,0,9782,2718,12500,1,9728,2772,12500,Total,19510,5490,
1.6803032517993483E-7;0.008434713798024672;0.53512;0.5389806428698277;0.4856;0.5108997559128019;0:,,Predicted Class,,,0,1,TotalActual Class,0,7308,5192,12500,1,6430,6070,12500,Total,13738,11262,
3.504563415434353E-7;0.013084916794900012;0.55648;0.5513006830402558;0.60696;0.5777930089102126;0:,,Predicted Class,,,0,1,TotalActual Class,0,6325,6175,12500,1,4913,7587,12500,Total,11238,13762,
4.908771874389128E-8;0.03445996238719147;0.4988;0.4968982630272953;0.19224;0.2772265805260729;0:,,Predicted Class,,,0,1,TotalActual Class,0,10067,2433,12500,1,10097,2403,12500,Total,20164,4836,
5.1392201794587176E-5;0.0033255046219371085;0.72056;0.7517808219178083;0.65856;0.7020895522388061;0:,,Predicted Class,,,0,1,TotalActual Class,0,9782,2718,12500,1,4268,8232,12500,Total,14050,10950,
8.314868023485027E-6;2.212980589964353E-4;0.70828;0.7080636138416048;0.7088;0.7084316155599087;0:,,Predicted Class,,,0,1,TotalActual Class,0,8847,3653,12500,1,3640,8860,12500,Total,12487,12513,
1.3878492741606566E-7;0.01325472279241003;0.51784;0.524602824360106;0.3804;0.44101279910962715;0:,,Predicted Class,,,0,1,TotalActual Class,0,8191,4309,12500,1,7745,4755,12500,Total,15936,9064,
9.137534738428314E-8;1.3777539782572215E-4;0.53112;0.5378257487359004;0.44248;0.48551615168539325;0:,,Predicted Class,,,0,1,TotalActual Class,0,7747,4753,12500,1,6969,5531,12500,Total,14716,10284,
0.008744815406308502;0.010895974531520103;0.5;0.5;1.0;0.6666666666666666;0:,,Predicted Class,,,0,1,TotalActual Class,0,0,12500,12500,1,0,12500,12500,Total,0,25000,
5.297844319532768E-4;0.0011457255493443556;0.74172;0.7504766641797231;0.72424;0.7371249440214958;0:,,Predicted Class,,,0,1,TotalActual Class,0,9490,3010,12500,1,3447,9053,12500,Total,12937,12063,
6.056599725506296E-7;0.012840602034216967;0.58736;0.571861016056857;0.6952;0.627527440785673;0:,,Predicted Class,,,0,1,TotalActual Class,0,5994,6506,12500,1,3810,8690,12500,Total,9804,15196,
0.008544816913166088;4.728465508206205E-4;0.7412;0.780048300204347;0.67184;0.7219118026304479;0:,,Predicted Class,,,0,1,TotalActual Class,0,10132,2368,12500,1,4102,8398,12500,Total,14234,10766,
1.3377550699767083E-6;0.04588708238994876;0.57404;0.5668955547524395;0.62744;0.5956331877729257;0:,,Predicted Class,,,0,1,TotalActual Class,0,6508,5992,12500,1,4657,7843,12500,Total,11165,13835,
0.003297795727288209;1.3441434595923716E-4;0.7508;0.7362471740768651;0.7816;0.7582460225067909;0:,,Predicted Class,,,0,1,TotalActual Class,0,9000,3500,12500,1,2730,9770,12500,Total,11730,13270,
2.011645241750978E-8;0.0010101791381144393;0.50084;0.5020787962779648;0.20288;0.2889863825423053;0:,,Predicted Class,,,0,1,TotalActual Class,0,9985,2515,12500,1,9964,2536,12500,Total,19949,5051,
7.006362861082277E-4;3.667572540190929E-5;0.74756;0.7476987112783159;0.74728;0.7474892970031609;0:,,Predicted Class,,,0,1,TotalActual Class,0,9348,3152,12500,1,3159,9341,12500,Total,12507,12493,
5.6088981913595355E-6;6.435598058519732E-4;0.70052;0.7013738250180767;0.6984;0.699883753557542;0:,,Predicted Class,,,0,1,TotalActual Class,0,8783,3717,12500,1,3770,8730,12500,Total,12553,12447,
1.3937302347610762E-4;0.04942481446780999;0.71384;0.7270642201834863;0.68472;0.7052570863546473;0:,,Predicted Class,,,0,1,TotalActual Class,0,9287,3213,12500,1,3941,8559,12500,Total,13228,11772,
8.476646674494303E-6;1.015538832452814E-4;0.70944;0.7088718685176321;0.7108;0.7098346249101223;0:,,Predicted Class,,,0,1,TotalActual Class,0,8851,3649,12500,1,3615,8885,12500,Total,12466,12534,
1.5715173888644841E-7;1.3985547458386077E-4;0.5534;0.5488760342681409;0.59968;0.5731544137324617;0:,,Predicted Class,,,0,1,TotalActual Class,0,6339,6161,12500,1,5004,7496,12500,Total,11343,13657,
4.06681396311777E-6;0.013840681696392952;0.68028;0.676842187867849;0.69;0.683357762548033;0:,,Predicted Class,,,0,1,TotalActual Class,0,8382,4118,12500,1,3875,8625,12500,Total,12257,12743,
2.994737295822751E-7;0.004064580285187342;0.57528;0.5609534913848944;0.6928;0.619944162073162;0:,,Predicted Class,,,0,1,TotalActual Class,0,5722,6778,12500,1,3840,8660,12500,Total,9562,15438,
6.0272369099908E-7;4.949796362804846E-4;0.62224;0.5994921213699701;0.73656;0.6609950463062675;0:,,Predicted Class,,,0,1,TotalActual Class,0,6349,6151,12500,1,3293,9207,12500,Total,9642,15358,
0.007030124552999314;2.2528856385367153E-5;0.73516;0.7404105667784412;0.72424;0.7322360173090143;0:,,Predicted Class,,,0,1,TotalActual Class,0,9326,3174,12500,1,3447,9053,12500,Total,12773,12227,
0.0019518174524612926;0.008649461399341946;0.70856;0.8040587823652904;0.55152;0.6542659200911076;0:,,Predicted Class,,,0,1,TotalActual Class,0,10820,1680,12500,1,5606,6894,12500,Total,16426,8574,
3.226107441547156E-4;0.025923796548870604;0.71588;0.7363994743758213;0.67248;0.7029897553836505;0:,,Predicted Class,,,0,1,TotalActual Class,0,9491,3009,12500,1,4094,8406,12500,Total,13585,11415,
3.933371366216843E-8;0.08674760144157964;0.49572;0.48750875554517864;0.16704;0.24882321396651372;0:,,Predicted Class,,,0,1,TotalActual Class,0,10305,2195,12500,1,10412,2088,12500,Total,20717,4283,
0.001492737578560453;0.0018741390612542225;0.74192;0.753563642461848;0.71896;0.7358552362236962;0:,,Predicted Class,,,0,1,TotalActual Class,0,9561,2939,12500,1,3513,8987,12500,Total,13074,11926,
5.001253605217563E-6;0.09381781215118873;0.59168;0.5844385499557914;0.63456;0.6084688554771402;0:,,Predicted Class,,,0,1,TotalActual Class,0,6860,5640,12500,1,4568,7932,12500,Total,11428,13572,
1.7339846316700496E-8;0.01799456621946749;0.4962;0.4889096427737567;0.16752;0.24953822320204969;0:,,Predicted Class,,,0,1,TotalActual Class,0,10311,2189,12500,1,10406,2094,12500,Total,20717,4283,
0.004707087704732532;1.7054140839284967E-5;0.7342;0.7013272814799533;0.81584;0.7542620465219482;0:,,Predicted Class,,,0,1,TotalActual Class,0,8157,4343,12500,1,2302,10198,12500,Total,10459,14541,
0.0019547870220222928;7.572552209065226E-5;0.7532;0.787100870827286;0.69416;0.7377146743751063;0:,,Predicted Class,,,0,1,TotalActual Class,0,10153,2347,12500,1,3823,8677,12500,Total,13976,11024,
4.452928609741066E-7;6.877196067131695E-5;0.60644;0.5829023615178516;0.7484;0.655364461101965;0:,,Predicted Class,,,0,1,TotalActual Class,0,5806,6694,12500,1,3145,9355,12500,Total,8951,16049,
1.8332987209315561E-6;0.0239342175928603;0.6236;0.6066547010907083;0.70304;0.6513006744237754;0:,,Predicted Class,,,0,1,TotalActual Class,0,6802,5698,12500,1,3712,8788,12500,Total,10514,14486,
9.401168992785505E-6;7.878232905869693E-4;0.71064;0.7119967793880837;0.70744;0.7097110754414125;0:,,Predicted Class,,,0,1,TotalActual Class,0,8923,3577,12500,1,3657,8843,12500,Total,12580,12420,
1.0509057408252482E-7;0.0021128468982555266;0.53252;0.5384251819642688;0.45568;0.49360890853156547;0:,,Predicted Class,,,0,1,TotalActual Class,0,7617,4883,12500,1,6804,5696,12500,Total,14421,10579,
1.4879796419940742E-8;7.824959311412342E-4;0.49952;0.49872665534804755;0.188;0.27306530327678363;0:,,Predicted Class,,,0,1,TotalActual Class,0,10138,2362,12500,1,10150,2350,12500,Total,20288,4712,
1.6954037543037786E-6;0.001287732601384424;0.66544;0.6657051282051282;0.66464;0.6651721377101681;0:,,Predicted Class,,,0,1,TotalActual Class,0,8328,4172,12500,1,4192,8308,12500,Total,12520,12480,
2.806966134277952E-5;3.3235376495280505E-5;0.72364;0.7571047548974524;0.65856;0.7044025157232704;0:,,Predicted Class,,,0,1,TotalActual Class,0,9859,2641,12500,1,4268,8232,12500,Total,14127,10873,
6.252135615301032E-8;0.008385284725820672;0.5064;0.5118413262285376;0.27664;0.3591607810552555;0:,,Predicted Class,,,0,1,TotalActual Class,0,9202,3298,12500,1,9042,3458,12500,Total,18244,6756,
5.125393082171117E-5;0.01599693702594823;0.719;0.7305263157894737;0.694;0.7117948717948718;0:,,Predicted Class,,,0,1,TotalActual Class,0,9300,3200,12500,1,3825,8675,12500,Total,13125,11875,
3.768081528927909E-4;0.009229474914699299;0.72212;0.7456427497124657;0.67424;0.7081460320127715;0:,,Predicted Class,,,0,1,TotalActual Class,0,9625,2875,12500,1,4072,8428,12500,Total,13697,11303,
2.647151884292706E-6;0.016404312267344553;0.65748;0.655502014377123;0.66384;0.6596446599626377;0:,,Predicted Class,,,0,1,TotalActual Class,0,8139,4361,12500,1,4202,8298,12500,Total,12341,12659,
8.864220087312754E-7;7.456250379175198E-4;0.63812;0.6222647121308689;0.70296;0.6601555163217009;0:,,Predicted Class,,,0,1,TotalActual Class,0,7166,5334,12500,1,3713,8787,12500,Total,10879,14121,
1.6273630574412146E-8;0.001737154288100336;0.49956;0.49884332281808624;0.18976;0.27493480150680966;0:,,Predicted Class,,,0,1,TotalActual Class,0,10117,2383,12500,1,10128,2372,12500,Total,20245,4755,
1.6898513168227243E-8;3.128820925859122E-5;0.50016;0.5004101722723544;0.1952;0.28084714548802947;0:,,Predicted Class,,,0,1,TotalActual Class,0,10064,2436,12500,1,10060,2440,12500,Total,20124,4876,
1.7106555497687198E-7;0.05191183129183757;0.50356;0.5065994364526175;0.27328;0.35503819570753;0:,,Predicted Class,,,0,1,TotalActual Class,0,9173,3327,12500,1,9084,3416,12500,Total,18257,6743,
0.0010025825006043404;2.3264926599715939E-4;0.75036;0.7441298073172634;0.76312;0.7535052727200916;0:,,Predicted Class,,,0,1,TotalActual Class,0,9220,3280,12500,1,2961,9539,12500,Total,12181,12819,
8.089426104001628E-6;0.007702799077309756;0.70244;0.7047495752083502;0.6968;0.7007522426485379;0:,,Predicted Class,,,0,1,TotalActual Class,0,8851,3649,12500,1,3790,8710,12500,Total,12641,12359,
3.2688169513090956E-7;0.001110565491235296;0.58556;0.5666313625319295;0.7276;0.6371055304542748;0:,,Predicted Class,,,0,1,TotalActual Class,0,5544,6956,12500,1,3405,9095,12500,Total,8949,16051,
0.006875249163734146;0.03434846803182059;0.5;0.5;1.0;0.6666666666666666;0:,,Predicted Class,,,0,1,TotalActual Class,0,0,12500,12500,1,0,12500,12500,Total,0,25000,
5.144352888424214E-8;0.0067435942027062375;0.50528;0.5103351080488568;0.26072;0.3451233718098062;0:,,Predicted Class,,,0,1,TotalActual Class,0,9373,3127,12500,1,9241,3259,12500,Total,18614,6386,
0.0049259285812404425;8.710305310446196E-4;0.75092;0.7892649635709674;0.68464;0.7332390866640962;0:,,Predicted Class,,,0,1,TotalActual Class,0,10215,2285,12500,1,3942,8558,12500,Total,14157,10843,
1.3885189803068207E-8;6.198817953265588E-4;0.49916;0.49774436090225566;0.18536;0.27012532789274263;0:,,Predicted Class,,,0,1,TotalActual Class,0,10162,2338,12500,1,10183,2317,12500,Total,20345,4655,
